date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:49	216/216	---M--	302	error ('Found')	text/html	date:Wed,%2005%20Aug%202020%2008:28:50%20GMT	http://www.ohmycompany.com/main	C:/Users/User/Desktop/share/e-commons/www.ohmycompany.com/main.0.delayed	(from )
17:39:50	69340/69340	---M-Z	200	added ('OK')	text/html	date:Wed,%2005%20Aug%202020%2008:28:50%20GMT	https://www.ohmycompany.com/main	C:/Users/User/Desktop/share/e-commons/www.ohmycompany.com/main.html	(from )
17:39:50	636/636	---M--	200	added ('OK')	text/plain	etag:W/%22636-1596530528000%22	https://www.ohmycompany.com/robots.txt		(from )
17:39:51	19777/19777	---MCZ	200	added ('OK')	text/css	etag:W/%225bdb21ee-4d41%22	https://cdnjs.cloudflare.com/ajax/libs/Swiper/4.4.2/css/swiper.min.css	C:/Users/User/Desktop/share/e-commons/cdnjs.cloudflare.com/ajax/libs/Swiper/4.4.2/css/swiper.min.css	(from https://www.ohmycompany.com/main)
17:39:51	124740/124740	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bdb21ee-1e744%22	https://cdnjs.cloudflare.com/ajax/libs/Swiper/4.4.2/js/swiper.min.js	C:/Users/User/Desktop/share/e-commons/cdnjs.cloudflare.com/ajax/libs/Swiper/4.4.2/js/swiper.min.js	(from https://www.ohmycompany.com/main)
17:39:51	137171/137171	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2005%20Aug%202020%2008:39:49%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/User/Desktop/share/e-commons/connect.facebook.net/en_US/fbevents.js	(from https://www.ohmycompany.com/main)
17:39:53	26692/26692	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2004%20Jun%202020%2007:31:58%20GMT	http://t1.daumcdn.net/adfit/static/kp.js	C:/Users/User/Desktop/share/e-commons/t1.daumcdn.net/adfit/static/kp.js	(from https://www.ohmycompany.com/main)
17:39:55	29973/29973	---MC-	200	added ('OK')	text/javascript	date:Wed,%2005%20Aug%202020%2008:39:51%20GMT	http://www.googleadservices.com/pagead/conversion.js	C:/Users/User/Desktop/share/e-commons/www.googleadservices.com/pagead/f.txt	(from https://www.ohmycompany.com/main)
17:39:55	45958/45958	---MC-	200	added ('OK')	text/javascript	date:Thu,%2004%20Jun%202020%2023:38:14%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/User/Desktop/share/e-commons/www.google-analytics.com/analytics.js	(from https://www.ohmycompany.com/main)
17:39:55	18920/18920	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2013%20Jan%202020%2006:02:51%20GMT	https://wcs.naver.net/wcslog.js	C:/Users/User/Desktop/share/e-commons/wcs.naver.net/wcslog.js	(from https://www.ohmycompany.com/main)
